TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000297,2305200006,1,0,,해산물토마토파스타;치즈포테이토샐러드;자몽에이드;청포도에이드,N,1,
e_e000297,2305210003,1,0,,음료,N,2,
e_e000297,2305210005,1,0,,비프 쿰피르,N,1,
e_e000297,2305200005,2,0,,사탕;소시지 구입,N,1,
e_e000297,2305210002,2,0,,까눌레,N,1,
e_e000297,2305210006,2,0,,뮤지컬 MD 뱃지 구매,N,1,
e_e000297,2305210007,2,0,,선물봉투,N,1,
e_e000297,2305210003,2,1,,스티커 및 인테리어 소품,N,5,
e_e000297,2305210007,2,1,,포카리스웨트 2병,N,1,
e_e000297,2305210004,3,0,,뮤지컬 쿠로이 저택엔 누가 살고있을까 관람,Y,5,2.0
e_e000297,2305200005,3,1,,연극 폭풍의언덕 관람,Y,5,2.0
e_e000297,2305210003,4,3,,,,,
e_e000297,2305210003,5,4,,,,,
e_e000297,2305200002,7,0,,,,,
e_e000297,2305200004,7,0,,,,,
e_e000308,2306030007,1,0,,별빛기념일패키지 코스 요리;와인;케이크,Y,4,
e_e000308,2306040003,1,0,,쌀국수;분짜;사이다,Y,1,
e_e000308,2306040004,1,0,,커피;에그타르트,N,1,
e_e000308,2306040008,1,0,,커피,N,1,
e_e000308,2306050002,1,0,,오코노야끼;야끼소바;돈빼이야끼,N,1,
e_e000308,2306050004,1,0,,커피,N,1,
e_e000308,2306050008,1,0,,커피;크루아상,N,1,
e_e000308,2306050011,1,0,,스팸옛날도시락;라면;초코바;만쥬,N,2,
e_e000308,2306060001,1,0,,커피;까논치니 세트,N,1,
e_e000308,2306060002,1,0,,물냉면;비빔냉면,N,1,
e_e000308,2306060003,1,0,,젤라또,N,1,
e_e000308,2306060004,1,0,,꽃차;구슬아이스크림,N,1,
e_e000308,2306060005,1,0,,버섯 샤브칼국수,N,1,
e_e000308,2306060007,1,0,,롯데리아 양념감자;스타벅스 커피,N,1,
e_e000308,2306030005,1,1,,햄버거;함박스테이크;카멜커피;또옥 우유크림모찌;플리퍼 미니푸딩;이탈리 젤라또,N,1,
e_e000308,2306050007,1,2,,커피;빵,N,4,
e_e000308,2306030005,2,0,,아이쇼핑,N,5,
e_e000308,2306040007,2,0,,한련화 꽃 씨앗;아이쇼핑,N,1,
e_e000308,2306050001,2,0,,전체 아이쇼핑;손톱깎이;휴족시간;모기퇴치제;곱창세트,N,1,
e_e000308,2306050003,2,0,,얇은 잠바,N,1,
e_e000308,2306050005,2,0,,아이쇼핑,N,5,
e_e000308,2306040007,2,1,,알로에수딩젤,N,1,
e_e000308,2306040010,2,1,,빵;음료수;삼각김밥,N,1,
e_e000308,2306050009,2,1,,자전거 팝업스토어 아이쇼핑,N,5,
e_e000308,2306060003,2,1,,지하1층 상점 아이쇼핑,N,5,
e_e000308,2306060004,2,1,,기념품샵 구경하면서 티스푼 구매,N,1,
e_e000308,2306040007,2,2,,젤리;음료수;물,N,1,
e_e000308,2306040005,3,0,,나비정원 관람,N,5,2.0
e_e000308,2306050007,3,1,,관람 및 사진 촬영,N,5,2.0
e_e000308,2306040009,3,2,,성시경 콘서트 관람,Y,1,2.0
e_e000308,2306050006,3,2,,화장품 설명듣고 체험,N,5,1.0
e_e000308,2306060004,3,2,,서울식물원 주제원;온실 관람,N,1,2.0
e_e000308,2306040005,3,3,,곤충식물원,N,5,2.0
e_e000308,2306030008,4,0,,,,,
