TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,RSVT_YN,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
e_e000297,50,교통비,0,버스 + 지하철,N,1,,,,,52050,
e_e000308,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,20000,
e_e000308,4,교통비,1,택시,N,2,1303211264,개인택시,2023-06-04 18:42,1,7800,택시비
e_e000308,50,교통비,0,버스 + 지하철,N,2,,,,,34000,
e_e000308,7,교통비,1,KTX/SRT(고속열차),Y,2,3148210024,한국철도공사,2023-05-24 00:00,1,74900,기차표
e_e000308,7,교통비,2,KTX/SRT(고속열차),Y,2,3148210024,한국철도공사,2023-05-24 19:55,1,74900,기차표
e_e000308,7,교통비,3,KTX/SRT(고속열차),N,2,3148210024,한국철도공사,2023-06-06 13:29,1,74900,기차표
e_e000313,5,교통비,0,지하철,N,1,,,,,3300,
e_e000327,4,교통비,1,택시,N,1,,,2023-05-22 23:24,3,7600,택시비
e_e000327,5,교통비,0,지하철,N,1,,,,,5150,
e_e000337,4,교통비,0,택시,N,2,,,,,5600,
e_e000337,50,교통비,0,버스 + 지하철,N,2,,,,,30000,
e_e000391,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,50000,
e_e000394,50,교통비,0,버스 + 지하철,N,3,,,,,7250,
e_e000431,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,70000,
e_e000459,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,60000,
e_e000459,1,주차비,0,자가용(승용/승합/트럭 등등),N,2,,,,,7600,
e_e000471,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,50000,
e_e000471,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,13200,
e_e000478,1,주유비,0,자가용(승용/승합/트럭 등등),N,3,,,,,35999,
e_e000478,1,통행료,0,자가용(승용/승합/트럭 등등),N,3,,,,,10000,
e_e000528,4,교통비,1,택시,N,1,1090725855,개인택시,2023-05-21 16:22,1,4800,택시비
e_e000537,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,12000,
e_e000537,1,통행료,0,자가용(승용/승합/트럭 등등),N,2,,,,,6400,
e_e000568,50,교통비,0,버스 + 지하철,N,2,,,,,14000,
e_e000573,1,주유비,0,자가용(승용/승합/트럭 등등),N,2,,,,,20000,
e_e000589,5,교통비,0,지하철,N,2,,,,,5000,
e_e000592,50,교통비,0,버스 + 지하철,N,2,,,,,8000,
e_e000614,50,교통비,0,버스 + 지하철,N,2,,,,,12000,
e_e000614,8,교통비,1,새마을/무궁화열차,N,2,3148210024,한국철도공사,2023-05-28 19:31,1,4400,기차표
e_e000652,1,주차비,0,자가용(승용/승합/트럭 등등),N,3,,,,,5500,
e_e000656,1,주유비,0,자가용(승용/승합/트럭 등등),N,4,,,,,60000,
