TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e010750,41,여,20,6,1,1,4,12,,1,12,3,2,50,50130,42,42150,42,42210,7,1,1,3,2,7,1,6,경기도,서울,2인 여행(가족 외),2023-09-10~2023-09-10,3,1,2,1
e009313,11,여,30,5,1,1,5,3,,1,7,3,3,42,42150,42,42230,41,41820,6,3,3,2,6,5,5,6,서울특별시,경기,3인 이상 여행(가족 외),2023-08-24~2023-08-24,1,3,5,2
e008123,11,여,30,6,1,1,4,3,,4,9,2,3,42,42830,42,42110,41,41820,3,5,2,5,6,5,5,3,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,6,1,3,1
e007887,11,여,30,6,1,1,5,3,,5,7,2,1,50,50130,26,26350,42,42150,3,2,2,4,5,5,6,6,서울특별시,경기,3인 이상 여행(가족 외),2023-08-27~2023-08-27,1,3,6,4
e005463,41,남,40,6,1,2,4,2,,12,12,2,1,42,42210,41,41820,44,44270,1,1,7,1,1,4,1,4,경기도,경기,3인 이상 여행(가족 외),2023-07-22~2023-07-23,3,,,6
e009635,41,여,30,6,1,2,3,11,,1,5,3,6,44,44210,41,41480,41,41460,3,3,4,3,5,6,6,6,서울특별시,경기,자녀 동반 여행,2023-09-10~2023-09-10,3,1,7,2
e010463,41,여,30,5,1,1,4,3,,4,8,3,1,26,26500,11,11110,42,42210,4,4,7,4,3,3,7,7,경기도,서울,나홀로 여행,2023-08-27~2023-08-27,8,1,2,0
e001925,11,남,30,7,1,1,3,2,,5,5,3,3,50,50110,26,26350,42,42150,6,1,3,5,2,5,6,3,서울특별시,경기,2인 여행(가족 외),2023-06-02~2023-06-03,3,2,1,1
e005549,11,여,30,7,5,2,2,4,,6,12,2,1,50,50130,50,50110,26,26500,3,3,2,4,2,5,2,4,서울특별시,경기,2인 가족 여행,2023-07-29~2023-07-30,3,2,6,1
e001153,30,여,30,5,1,2,3,3,,3,6,2,1,26,26710,42,42150,50,50110,2,1,2,4,6,2,6,6,대전광역시,서울,자녀 동반 여행,2023-06-03~2023-06-04,7,3,1,2
e008652,27,여,30,6,2,1,4,12,,1,5,3,3,50,50130,11,11680,26,26260,3,3,3,3,3,2,4,6,대구광역시,서울,나홀로 여행,2023-08-27~2023-08-27,5,,,0
e007264,41,남,20,5,1,2,4,11,,5,8,3,4,47,47110,42,42730,42,42810,3,4,3,3,4,4,4,5,경기도,서울,2인 가족 여행,2023-08-18~2023-08-18,3,1,7,1
e003182,41,여,30,7,3,2,3,3,,7,12,3,4,11,11140,41,41460,42,42760,4,1,4,1,4,4,4,7,경기도,서울,자녀 동반 여행,2023-06-30~2023-07-01,1,2,3,2
e000776,41,여,30,7,1,2,2,2,,4,10,2,1,42,42210,26,26350,45,45110,4,6,1,4,3,3,3,4,경기도,인천,2인 여행(가족 외),2023-05-23~2023-05-23,2,5,3,1
e007514,11,여,50,7,1,2,4,2,,4,7,2,1,41,41480,42,42110,43,43760,4,6,4,2,3,5,1,6,서울특별시,인천,3인 이상 여행(가족 외),2023-08-20~2023-08-20,3,1,7,2
e002388,11,남,40,6,1,2,4,3,,7,8,2,2,41,41450,41,41360,41,41310,5,4,3,4,5,4,5,3,서울특별시,경기,자녀 동반 여행,2023-06-06~2023-06-06,2,6,1,3
e002337,11,남,60,6,1,1,2,3,,3,3,3,2,50,50110,42,42150,41,41480,5,2,5,2,3,2,2,5,서울특별시,경기,3대 동반 여행(친척 포함),2023-06-04~2023-06-05,2,3,1,4
e004932,11,여,20,6,1,1,1,3,,5,,3,3,28,28710,41,41210,41,41550,4,7,4,7,4,7,4,4,서울특별시,경기,2인 여행(가족 외),2023-07-08~2023-07-09,2,3,5,1
e000327,28,여,20,6,1,1,4,12,,3,10,2,1,41,41110,50,50110,26,26350,4,2,2,3,4,1,5,5,인천광역시,서울,나홀로 여행,2023-05-22~2023-05-22,4,8,5,0
e004637,41,여,30,7,5,2,3,11,,2,5,3,3,42,42230,46,46820,41,41650,3,2,2,2,2,6,3,7,경기도,서울,자녀 동반 여행,2023-07-05~2023-07-06,1,7,3,2
e005925,29,남,30,6,2,1,3,12,,2,4,2,1,11,11680,50,50130,26,26350,2,1,1,2,5,6,6,6,광주광역시,서울,3인 이상 여행(가족 외),2023-07-30~2023-08-01,7,1,5,2
e000528,44,여,30,6,1,1,1,3,,4,,1,1,50,50130,11,11680,26,26710,1,1,1,2,3,1,1,7,충청남도,서울,나홀로 여행,2023-05-21~2023-05-21,1,5,2,0
e006150,41,여,20,6,2,1,1,12,,2,,4,1,26,26200,45,45110,50,50130,2,2,1,3,4,4,5,6,경기도,인천,나홀로 여행,2023-08-07~2023-08-09,1,2,7,0
e010388,11,남,20,6,1,1,1,3,,5,,3,2,42,42150,41,41280,50,50110,2,5,1,4,5,6,2,5,서울특별시,경기,2인 여행(가족 외),2023-08-24~2023-08-24,7,1,3,1
e011189,28,여,20,5,1,1,3,3,,4,8,3,1,11,11440,11,11560,11,11500,4,5,5,3,2,4,3,6,인천광역시,서울,2인 여행(가족 외),2023-08-26~2023-08-26,3,5,1,1
f006339,41,남,20,7,2,1,1,12,,3,,2,2,48,48120,27,27230,11,11440,4,1,2,3,3,2,3,3,경기도,서울,2인 여행(가족 외),2023-08-13~2023-08-13,2,7,3,1
e008106,11,여,40,6,1,1,2,3,,4,6,3,4,50,50130,42,42210,45,45110,6,1,6,1,1,1,6,4,서울특별시,경기,3인 이상 여행(가족 외),2023-08-21~2023-08-21,2,1,3,3
e010606,28,남,20,4,1,1,3,12,,1,5,3,1,41,41110,48,48310,42,42150,7,7,4,4,1,4,7,7,인천광역시,경기,2인 여행(가족 외),2023-08-30~2023-08-30,7,1,3,1
e005634,41,여,30,5,1,1,2,4,,3,3,2,1,42,42820,44,44825,50,50130,1,1,1,3,2,3,4,7,경기도,경기,2인 여행(가족 외),2023-08-01~2023-08-03,7,2,8,1
e007177,11,여,30,6,1,2,4,2,,5,11,2,1,50,50130,26,26350,42,42150,4,2,4,2,3,5,2,5,서울특별시,경기,자녀 동반 여행,2023-08-15~2023-08-15,8,3,7,3
e002114,11,여,40,5,1,2,3,4,,1,4,3,3,42,42150,28,28710,50,50130,2,4,4,4,4,4,2,6,서울특별시,경기,자녀 동반 여행,2023-06-03~2023-06-03,5,3,1,1
e000313,28,여,30,6,1,1,1,3,,4,,2,2,11,11500,41,41170,30,30230,6,6,5,6,5,6,5,6,인천광역시,경기,나홀로 여행,2023-05-19~2023-05-21,6,8,7,0
e000538,11,여,40,6,1,2,5,3,,8,12,2,1,50,50130,42,42210,47,47130,2,2,2,2,3,3,2,6,서울특별시,인천,자녀 동반 여행,2023-06-04~2023-06-05,2,3,8,3
e001208,41,여,20,5,1,1,4,3,,4,10,2,1,41,41550,41,41110,41,41480,5,5,4,5,4,5,3,6,서울특별시,경기,부모 동반 여행,2023-05-27~2023-05-27,1,8,2,1
e003255,41,남,30,6,1,1,4,3,,3,12,2,4,41,41110,11,11680,11,11440,2,6,6,7,1,1,1,1,경기도,서울,3인 이상 여행(가족 외),2023-06-17~2023-06-17,3,2,7,3
e002028,41,남,30,6,1,1,1,2,,6,,3,4,42,42150,41,41480,26,26350,2,2,4,2,2,2,6,3,경기도,경기,2인 여행(가족 외),2023-06-03~2023-06-03,3,,,1
e003544,41,남,30,7,5,2,2,13,,2,5,2,1,11,11680,28,28185,41,41270,4,6,2,1,6,2,2,3,경기도,서울,2인 가족 여행,2023-06-24~2023-06-24,3,8,1,1
e011310,11,여,20,4,1,1,3,3,,4,6,3,3,50,50110,26,26350,41,41360,6,2,1,1,1,2,6,6,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,1,5,2,1
e007157,41,여,30,5,1,1,2,4,,2,3,1,1,50,50130,42,42820,26,26500,1,1,1,1,4,4,4,7,경기도,경기,부모 동반 여행,2023-08-14~2023-08-14,3,5,1,2
e011358,11,여,20,6,1,1,2,3,,4,4,3,4,42,42150,50,50130,43,43110,2,2,1,4,5,4,6,5,서울특별시,인천,2인 여행(가족 외),2023-08-26~2023-08-26,3,2,7,1
e002790,41,남,20,6,1,1,1,2,,3,,2,3,41,41820,42,42150,41,41480,4,2,2,3,5,5,1,3,경기도,경기,2인 여행(가족 외),2023-06-10~2023-06-11,3,1,2,1
e009657,41,여,60,4,1,1,4,12,,1,10,1,3,50,50130,50,50110,11,11140,5,3,2,2,2,2,2,7,경기도,서울,2인 여행(가족 외),2023-09-02~2023-09-02,7,3,8,1
e003511,28,여,30,5,1,2,4,4,,5,10,3,5,28,28720,11,11680,41,41820,4,7,6,4,1,6,4,4,인천광역시,경기,나홀로 여행,2023-06-22~2023-06-23,7,4,1,0
e009302,28,남,40,7,1,2,2,1,,6,6,3,3,50,50130,26,26290,42,42230,2,2,2,6,6,4,2,2,인천광역시,경기,나홀로 여행,2023-08-26~2023-08-26,2,7,1,0
e003645,11,남,20,6,5,1,1,3,,5,,3,3,42,42150,42,42110,50,50130,4,1,2,1,3,7,3,7,서울특별시,경기,2인 여행(가족 외),2023-07-08~2023-07-09,5,3,1,1
e001187,41,남,40,5,1,2,3,11,,1,5,3,8,41,41460,41,41820,45,45770,2,2,2,5,6,4,2,6,경기도,경기,자녀 동반 여행,2023-05-28~2023-05-28,1,3,7,2
e007333,28,여,20,5,1,1,1,3,,4,,3,3,50,50110,42,42150,11,11680,2,1,1,5,4,6,2,6,인천광역시,서울,2인 여행(가족 외),2023-08-13~2023-08-13,1,6,3,1
e005451,41,남,20,6,1,1,4,2,,5,5,2,2,42,42210,42,42830,42,42130,2,3,2,2,1,3,2,2,경기도,서울,2인 여행(가족 외),2023-07-22~2023-07-23,6,3,2,1
e003714,44,남,50,7,1,2,5,3,,8,8,3,3,44,44270,11,11680,50,50130,2,1,1,2,6,6,2,5,충청남도,서울,3인 이상 여행(가족 외),2023-06-23~2023-06-23,6,1,2,2
e002112,11,남,30,6,1,2,2,3,,4,7,2,2,50,50130,42,42830,41,41210,4,5,2,4,5,3,5,6,서울특별시,경기,2인 가족 여행,2023-06-05~2023-06-05,1,3,5,1
e005979,28,남,30,6,1,1,3,4,,3,8,3,2,28,28177,11,11680,42,42110,4,3,2,3,3,4,6,4,인천광역시,경기,나홀로 여행,2023-07-31~2023-08-02,7,2,8,0
e007722,11,남,30,5,1,1,2,2,,5,11,2,2,46,46130,50,50130,42,42150,6,2,2,2,2,5,5,6,서울특별시,경기,2인 여행(가족 외),2023-08-20~2023-08-20,1,3,2,1
e003695,41,여,50,6,1,2,3,11,,3,7,3,3,50,50130,42,42820,11,11110,4,4,4,2,3,4,4,3,경기도,경기,3인 이상 여행(가족 외),2023-06-23~2023-06-23,1,3,2,2
e006441,41,여,60,4,1,2,2,11,,4,4,2,2,48,48840,46,46130,42,42170,1,3,2,2,2,3,3,2,경기도,서울,2인 가족 여행,2023-08-09~2023-08-09,7,3,1,1
e000568,41,여,20,6,2,1,1,12,,4,,2,1,26,26350,50,50110,27,27110,6,2,2,3,6,2,1,6,경기도,서울,2인 여행(가족 외),2023-05-20~2023-05-20,3,7,1,1
e002390,41,여,30,6,1,2,2,2,,6,10,3,3,50,50130,41,41670,26,26710,2,2,1,3,6,2,6,2,경기도,경기,2인 여행(가족 외),2023-06-10~2023-06-10,2,7,1,1
e000656,45,남,40,7,1,2,4,2,,7,12,2,1,11,11230,46,46130,46,46710,6,6,3,6,6,7,3,2,전라북도,서울,자녀 동반 여행,2023-06-03~2023-06-06,1,3,8,3
e001361,28,여,30,6,1,1,3,3,,2,5,4,1,26,26260,11,11110,27,27290,7,5,4,3,7,4,2,5,인천광역시,서울,나홀로 여행,2023-05-28~2023-05-28,7,2,1,0
e002180,41,남,40,7,1,2,3,13,,1,5,2,1,41,41480,41,41570,11,11500,2,6,2,3,2,3,5,4,경기도,경기,자녀 동반 여행,2023-06-04~2023-06-04,6,2,3,2
e000944,11,남,30,7,1,2,3,3,,2,5,2,1,11,11740,27,27260,50,50110,2,2,1,4,4,2,2,6,서울특별시,경기,자녀 동반 여행,2023-05-27~2023-05-28,3,1,7,2
e008623,11,여,30,7,1,1,1,2,,8,,2,1,41,41280,41,41480,28,28185,7,5,5,1,3,6,2,4,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,3,1,7,1
e000614,41,여,20,6,1,1,1,2,,5,,3,4,50,50130,45,45110,42,42150,6,5,3,5,2,3,2,2,경기도,서울,2인 여행(가족 외),2023-05-26~2023-05-28,3,7,2,1
e003543,41,여,40,6,1,2,4,11,,1,4,3,1,44,44270,28,28710,46,46130,1,4,2,4,5,4,4,6,경기도,서울,자녀 동반 여행,2023-06-25~2023-06-25,8,,,2
e004387,11,여,30,6,1,1,1,2,,6,,3,6,47,47130,42,42170,41,41820,4,2,1,1,1,1,1,6,서울특별시,경기,2인 여행(가족 외),2023-07-06~2023-07-07,2,3,1,1
e003948,11,남,30,6,1,1,2,3,,4,7,2,1,41,41450,26,26290,50,50130,4,2,1,2,2,4,6,4,서울특별시,경기,2인 여행(가족 외),2023-06-25~2023-06-25,2,3,7,1
e004021,27,여,30,5,1,1,2,3,,4,4,2,2,46,46110,11,11140,11,11110,4,7,1,6,7,1,6,3,대구광역시,서울,나홀로 여행,2023-07-01~2023-07-02,7,1,8,0
e000308,31,남,30,6,1,2,2,3,,4,5,2,3,26,26710,47,47130,27,27110,3,4,5,3,4,3,5,7,울산광역시,서울,2인 가족 여행,2023-06-03~2023-06-06,1,3,7,1
e002343,41,여,30,7,1,2,2,1,,1,5,2,3,41,41360,29,29200,42,42210,1,2,2,2,6,3,2,5,경기도,경기,2인 가족 여행,2023-06-03~2023-06-03,1,2,6,1
e009153,41,남,20,5,1,1,3,10,,2,3,3,1,41,41310,11,11170,41,41360,6,6,3,4,4,5,5,5,경기도,서울,2인 여행(가족 외),2023-08-26~2023-08-26,7,3,1,1
e007423,41,여,30,5,1,4,2,4,,3,3,3,6,42,42150,45,45110,46,46130,5,1,1,1,4,4,1,1,경기도,서울,자녀 동반 여행,2023-08-15~2023-08-15,2,1,5,1
e002379,41,여,20,6,1,1,3,3,,4,5,3,5,50,50110,50,50130,42,42830,4,3,4,2,3,4,3,5,경기도,서울,나홀로 여행,2023-06-04~2023-06-04,1,4,2,0
e000573,41,남,60,5,1,2,4,9,,6,6,3,10,42,42830,50,50130,46,46780,4,2,6,2,4,2,3,4,경기도,경기,2인 여행(가족 외),2023-05-20~2023-05-20,1,2,3,1
e007854,11,남,60,5,1,2,3,11,,2,2,1,2,41,41480,42,42210,43,43150,1,4,1,4,7,1,1,7,서울특별시,경기,자녀 동반 여행,2023-08-22~2023-08-22,1,3,,2
e006797,28,여,50,6,1,2,2,11,,4,7,2,1,31,31710,27,27260,47,47920,3,3,5,3,4,2,4,3,인천광역시,경기,나홀로 여행,2023-08-25~2023-08-25,8,6,2,0
e011738,11,남,20,5,1,1,4,2,,3,7,3,2,46,46130,50,50130,45,45110,3,3,2,2,4,4,5,6,서울특별시,경기,2인 여행(가족 외),2023-08-29~2023-08-29,4,1,2,1
e001056,11,여,20,6,5,1,4,3,,4,10,3,3,41,41280,42,42150,50,50130,4,5,2,1,4,4,7,2,서울특별시,경기,나홀로 여행,2023-06-03~2023-06-03,1,2,10,0
e004127,41,남,30,6,1,1,1,3,,4,,3,5,42,42210,26,26350,50,50110,2,4,2,2,2,2,2,4,경기도,서울,나홀로 여행,2023-07-06~2023-07-06,7,1,4,0
